Directory Name,File Name,Size,Size Unit,is File,File Path
,Microsoft WSE 3.0.msi,11,MB,Y,E:\D Drive\Ajit\AI CRs\CyberSource\CyberSource_Release_Final_08_Mar_2008\web3.0\Microsoft WSE 3.0.msi
,Microsoft WSE 3.0.msi,11,MB,Y,E:\D Drive\Ajit\AI CRs\CyberSource\Microsoft WSE 3.0.msi
,BAIEIN0126-FRS-Consolidator 1.0.doc,20,MB,Y,E:\D Drive\Ajit\AIE Documents\Engineering\FRS\Consolidator\BAIEIN0126-FRS-Consolidator 1.0.doc
,BAIEIN0126-FRS-Consolidator 1.0.doc,20,MB,Y,E:\D Drive\Ajit\AIE Documents\Engineering\FRS\temp\BAIEIN0126-FRS-Consolidator 1.0.doc
,BAIEIN0126-FRS-Travel Agent 1.0.doc,31,MB,Y,E:\D Drive\Ajit\AIE Documents\Engineering\FRS\temp\BAIEIN0126-FRS-Travel Agent 1.0.doc
,BAIEIN0126-FRS-Travel Agent 1.0.doc,31,MB,Y,E:\D Drive\Ajit\AIE Documents\Engineering\FRS\Travel Agent\BAIEIN0126-FRS-Travel Agent 1.0.doc
,ForeCasting.doc,512,MB,Y,E:\D Drive\Ajit\Airline related data\ARM\ForeCasting.doc
,The Theory and Practice of Revenue Management.pdf,18,MB,Y,E:\D Drive\Ajit\Airline related data\ARM\The Theory and Practice of Revenue Management.pdf
,Wrox.Professional.ASP.NET.4.in.CSharp.and.VB.Mar.2010.pdf,41,MB,Y,E:\D Drive\Ajit\Learning\Wrox.Professional.ASP.NET.4.in.CSharp.and.VB.Mar.2010\Wrox.Professional.ASP.NET.4.in.CSharp.and.VB.Mar.2010.pdf
,PHHL,31,MB,Y,E:\D Drive\Ajit\PHHL\CleanedDatabase\PHHL
,IGT's Response to SKYTEAM RTW PLANNER SYSTEM.doc,11,MB,Y,E:\D Drive\Ajit\Proposal\Airline\IBE\SkyTeam RTW Itinerary Planner\Proposal\IGT's Response to SKYTEAM RTW PLANNER SYSTEM.doc
,UserManual.chm,11,MB,Y,E:\D Drive\Ajit\Proposal\Airline\Revenue Management\Air Mauritius\Documents\UserManual.chm
,IGT Presentation to ST v1.0 - 11Aug09.ppt,16,MB,Y,E:\D Drive\Ajit\Proposal\Presentation\IGT Presentation to ST v1.0 - 11Aug09.ppt
,UserManual.chm,11,MB,Y,E:\D Drive\Ajit\Proposal\Proposal - Others\Revenue Management\Air Mauritius\Documents\UserManual.chm
,final-SON_IGT Response.xls,10,MB,Y,"E:\D Drive\Ajit\Proposal\Proposal - TMC\B2C IBE, POS and ERP\Documents\final-SON_IGT Response.xls"
,DNATA_screenshots.doc,17,MB,Y,E:\D Drive\Ajit\Proposal\Proposal - TMC\Front Office Managment\DNATA DFO - (Front Office Migrator)\Documents - Existing System\DNATA_screenshots.doc
,UserManual.chm,11,MB,Y,E:\D Drive\Ajit\Proposal\Revenue Management\Air Mauritius\Documents\UserManual.chm
,01Apr07-30Apr07.rar,14,MB,Y,E:\D Drive\Ajit\Support\Agency Fare\Backup CRS from PreProd\AirIndia\AirIndia\Reports\01Apr07-30Apr07.rar
,01AUG07-31AUG07.rar,12,MB,Y,E:\D Drive\Ajit\Support\Agency Fare\Backup CRS from PreProd\AirIndia\AirIndia\Reports\01AUG07-31AUG07.rar
,01Dec07-31Dec07.rar,13,MB,Y,E:\D Drive\Ajit\Support\Agency Fare\Backup CRS from PreProd\AirIndia\AirIndia\Reports\01Dec07-31Dec07.rar
,01July07-31July07.rar,13,MB,Y,E:\D Drive\Ajit\Support\Agency Fare\Backup CRS from PreProd\AirIndia\AirIndia\Reports\01July07-31July07.rar
,01June07-30June07.rar,12,MB,Y,E:\D Drive\Ajit\Support\Agency Fare\Backup CRS from PreProd\AirIndia\AirIndia\Reports\01June07-30June07.rar
,01May07-31May07.rar,14,MB,Y,E:\D Drive\Ajit\Support\Agency Fare\Backup CRS from PreProd\AirIndia\AirIndia\Reports\01May07-31May07.rar
,01Nov07-30Nov07.rar,14,MB,Y,E:\D Drive\Ajit\Support\Agency Fare\Backup CRS from PreProd\AirIndia\AirIndia\Reports\01Nov07-30Nov07.rar
,01OCT07-31OCT07.rar,14,MB,Y,E:\D Drive\Ajit\Support\Agency Fare\Backup CRS from PreProd\AirIndia\AirIndia\Reports\01OCT07-31OCT07.rar
,01SEP07-30SEP07.rar,13,MB,Y,E:\D Drive\Ajit\Support\Agency Fare\Backup CRS from PreProd\AirIndia\AirIndia\Reports\01SEP07-30SEP07.rar
,AllTxnData_01Apr_15Apr08.rar,16,MB,Y,E:\D Drive\Ajit\Support\Agency Fare\Backup CRS from PreProd\AirIndia\AirIndia\Reports\AllTxnData_01Apr_15Apr08.rar
,AllTxn_01Dec_31Dec07.rar,12,MB,Y,E:\D Drive\Ajit\Support\Agency Fare\Backup CRS from PreProd\AirIndia\AirIndia\Reports\AllTxn_01Dec_31Dec07.rar
,Microsoft WSE 3.0.msi,11,MB,Y,E:\D Drive\Ajit\Support\Agency Fare\Backup CRS from PreProd\Cybersource_Release\web3.0\Microsoft WSE 3.0.msi
,AllTxn_16Jan2009_To_31Jan2009.xls,56,MB,Y,E:\D Drive\Ajit\Support\AllTxn_16Jan2009_To_31Jan2009\AllTxn_16Jan2009_To_31Jan2009.xls
,devtools.zip,15,MB,Y,E:\D Drive\Ajit\Support\Dot Net\RNDBuild Tools\040622\devtools.zip
,040622.zip,14,MB,Y,E:\D Drive\Ajit\Support\Dot Net\RNDBuild Tools\040622.zip
,ANTS_Profiler_4.0.0.861.exe,26,MB,Y,E:\D Drive\Ajit\Support\Dot Net\RNDBuild Tools\ANTS_Profiler_4.0.0.861.exe
,ReSharperSetup.4.1.msi,30,MB,Y,E:\D Drive\Ajit\Support\Dot Net\RNDBuild Tools\ReSharperSetup.4.1.msi
CRSV2,,228,MB,N,E:\D Drive\Ajit\AI CR NON CONSTRACTIVE FARE\CRSV2\Documents\Engineering\ProgramSpecifications\CRSV2
ProgramSpecifications,,228,MB,N,E:\D Drive\Ajit\AI CR NON CONSTRACTIVE FARE\CRSV2\Documents\Engineering\ProgramSpecifications
Engineering,,236,MB,N,E:\D Drive\Ajit\AI CR NON CONSTRACTIVE FARE\CRSV2\Documents\Engineering
Documents,,238,MB,N,E:\D Drive\Ajit\AI CR NON CONSTRACTIVE FARE\CRSV2\Documents
